From,To,Dolores,Hovenweep,McElmo,Mesa Verde Landform,MVNP,Ute Piedmont,Overall,Churn
663,763,0.8,0.3,0,-0.2,0.2,-0.7,2,2
763,820,2,2.5,1.7,3.4,1.4,1.8,1.9,6
820,860,0.4,-0.9,0.5,-1.7,0.7,-1.4,0.2,4
860,900,-0.8,-4.5,-3.4,-1.3,-2.6,-1.4,-2.2,6
900,950,-2.5,1.6,0.7,0.8,0.2,1.5,-0.3,5
950,1000,-0.1,0.2,1.3,2.4,2,2.2,1.5,4
1000,1040,1.2,1.1,0.1,-0.4,0.4,1,0.2,3
1040,1080,0.6,1.2,1.7,0.2,0.8,0.7,1.1,4
1080,1120,0.9,2.6,1,1.4,-0.4,0.6,0.9,4
1120,1160,-1.7,0.7,0.2,-0.1,-0.4,0.3,0,2
1160,1203,-1.2,-1.3,0,0,-0.3,0.1,-0.2,2
1203,1243,2.1,1.8,0.8,-0.1,0.9,0.3,0.8,4
1243,1270,-3.6,-0.8,-1,0.1,0.3,-0.8,-0.7,4