Begin,End,Length,Occupation Small sites,Occupation Community centers,Span Small sites,Span Community centers,nHouse Small sites,nHouse Community centers,momentary House Small sites,momentary House Community centers,Total
600,725,125,8,28,0.064,0.224,1567,10,100.288,2.24,103
725,800,75,13,28,0.173333333,0.373333333,545,105,94.46666667,39.2,134
800,840,40,18,28,0.45,0.7,436,97,196.2,67.9,264
840,880,40,18,28,0.45,0.7,483,149,217.35,104.3,322
880,920,40,18,28,0.45,0.7,158,154,71.1,107.8,179
920,980,60,18,28,0.3,0.466666667,240,61,72,28.46666667,100
980,1020,40,18,28,0.45,0.7,362,38,162.9,26.6,190
1020,1060,40,21,40,0.525,1,326,35,171.15,35,206
1060,1100,40,21,40,0.525,1,721,269,378.525,269,648
1100,1140,40,40,40,1,1,591,309,591,309,900
1140,1180,40,40,40,1,1,579,394,579,394,973
1180,1225,45,45,45,1,1,487,598,487,598,1085
1225,1260,35,35,35,1,1,763,967,763,967,1730
1260,1280,20,20,20,1,1,343,850,343,850,1193